Customer_Name,Customer_ID,Order_ID,Order_Date,Amount
Dennis Kane,DK-13375,CA-2011-100006,9/7/2011,377.97
Ed Braxton,EB-13705,CA-2011-100090,7/8/2011,502.49
Barry Weirich,BW-11065,CA-2011-100391,5/25/2011,14.62
Kunst Miller,KM-16720,CA-2011-100678,4/18/2011,2.69
Kunst Miller,KM-16720,CA-2011-100678,4/18/2011,149.35
Kunst Miller,KM-16720,CA-2011-100678,4/18/2011,227.98
Kunst Miller,KM-16720,CA-2011-100678,4/18/2011,317.06
Nat Gilpin,NG-18355,CA-2011-100762,11/24/2011,15.96
Nat Gilpin,NG-18355,CA-2011-100762,11/24/2011,144.12
Nat Gilpin,NG-18355,CA-2011-100762,11/24/2011,151.92
Nat Gilpin,NG-18355,CA-2011-100762,11/24/2011,196.62
Cindy Stewart,CS-12505,CA-2011-100860,3/26/2011,18.75
Eugene Hildebrand,EH-14125,CA-2011-100867,10/19/2011,321.55
Daniel Raglin,DR-12940,CA-2011-100881,3/28/2011,302.38
Stewart Visinsky,SV-20785,CA-2011-100895,6/2/2011,8.56
Stewart Visinsky,SV-20785,CA-2011-100895,6/2/2011,239.97
Stewart Visinsky,SV-20785,CA-2011-100895,6/2/2011,356.94
Frank Hawley,FH-14275,CA-2011-100916,10/21/2011,2.84
Frank Hawley,FH-14275,CA-2011-100916,10/21/2011,194.7
Frank Hawley,FH-14275,CA-2011-100916,10/21/2011,591.32
Dennis Bolton,DB-13360,CA-2011-100972,11/19/2011,166.44
Matt Collins,MC-17575,CA-2011-101147,12/2/2011,2.39
Dario Medina,DM-12955,CA-2011-101175,12/9/2011,100.7
Michael Moore,MM-17920,CA-2011-101266,8/27/2011,13.36
Tamara Willingham,TW-21025,CA-2011-101364,12/22/2011,296.71
Ann Steele,AS-10630,CA-2011-101392,12/7/2011,269.36
Andy Yotov,AY-10555,CA-2011-101427,12/26/2011,8.02
Benjamin Patterson,BP-11230,CA-2011-101462,4/20/2011,59.92
Shirley Daniels,SD-20485,CA-2011-101476,9/12/2011,69.99
Chris Selesnick,CS-12250,CA-2011-101560,11/28/2011,13.12
Chris Selesnick,CS-12250,CA-2011-101560,11/28/2011,85.96
Chris Selesnick,CS-12250,CA-2011-101560,11/28/2011,397.6
Mick Crebagga,MC-18100,CA-2011-101602,12/15/2011,40.68
Mick Crebagga,MC-18100,CA-2011-101602,12/15/2011,763.28
Karen Bern,KB-16240,CA-2011-101770,3/31/2011,1.87
Frank Gastineau,FG-14260,CA-2011-101833,11/17/2011,34.44
Todd Sumrall,TS-21370,CA-2011-101931,10/28/2011,6.28
Todd Sumrall,TS-21370,CA-2011-101931,10/28/2011,7.18
Todd Sumrall,TS-21370,CA-2011-101931,10/28/2011,141.4
Todd Sumrall,TS-21370,CA-2011-101931,10/28/2011,480.74
Todd Sumrall,TS-21370,CA-2011-101931,10/28/2011,617
Russell Applegate,RA-19915,CA-2011-102008,9/30/2011,48.94
Joy Daniels,JD-16015,CA-2011-102085,10/4/2011,29.24
Dave Hallsten,DH-13075,CA-2011-102274,11/21/2011,5.46
Dave Hallsten,DH-13075,CA-2011-102274,11/21/2011,36.99
Dave Hallsten,DH-13075,CA-2011-102274,11/21/2011,193.95
Dave Hallsten,DH-13075,CA-2011-102274,11/21/2011,629.1
Erica Hackney,EH-13990,CA-2011-102295,11/24/2011,120.71
Arianne Irving,AI-10855,CA-2011-102330,12/29/2011,88.8
Arianne Irving,AI-10855,CA-2011-102330,12/29/2011,319.97
Ionia McGrath,IM-15055,CA-2011-102645,1/24/2011,40.08
Andy Yotov,AY-10555,CA-2011-102652,4/6/2011,19.44
Andy Yotov,AY-10555,CA-2011-102652,4/6/2011,33.11
Andy Yotov,AY-10555,CA-2011-102652,4/6/2011,55.48
Andy Yotov,AY-10555,CA-2011-102652,4/6/2011,91.96
Ken Heidel,KH-16630,CA-2011-102673,11/1/2011,7.52
Ken Heidel,KH-16630,CA-2011-102673,11/1/2011,10.27
Ken Heidel,KH-16630,CA-2011-102673,11/1/2011,47.81
Ken Heidel,KH-16630,CA-2011-102673,11/1/2011,978.84
Logan Currie,LC-17140,CA-2011-102869,9/9/2011,15.55
Logan Currie,LC-17140,CA-2011-102869,9/9/2011,17.47
Logan Currie,LC-17140,CA-2011-102869,9/9/2011,64.7
Logan Currie,LC-17140,CA-2011-102869,9/9/2011,135.52
Greg Maxwell,GM-14695,CA-2011-102988,4/5/2011,12.96
Greg Maxwell,GM-14695,CA-2011-102988,4/5/2011,22.96
Greg Maxwell,GM-14695,CA-2011-102988,4/5/2011,22.96
